咪咕移动,#genre#
CCTV1,http://101.200.122.188/tv/migu085.php?id=cctv1
CCTV2,http://101.200.122.188/tv/migu085.php?id=cctv2
CCTV3,http://101.200.122.188/tv/migu085.php?id=cctv3
CCTV4,http://101.200.122.188/tv/migu085.php?id=cctv4#http://101.200.122.188/tv/migu085.php?id=cctv4a#http://101.200.122.188/tv/migu085.php?id=cctv4o
CCTV5,http://101.200.122.188/tv/migu085.php?id=cctv5
CCTV5+,http://101.200.122.188/tv/migu085.php?id=cctv5p
CCTV6,http://101.200.122.188/tv/migu085.php?id=cctv6
CCTV7,http://101.200.122.188/tv/migu085.php?id=cctv7
CCTV8,http://101.200.122.188/tv/migu085.php?id=cctv8
CCTV9,http://101.200.122.188/tv/migu085.php?id=cctv9
CCTV10,http://101.200.122.188/tv/migu085.php?id=cctv10
CCTV11,http://101.200.122.188/tv/migu085.php?id=cctv11
CCTV12,http://101.200.122.188/tv/migu085.php?id=cctv12
CCTV13,http://101.200.122.188/tv/migu085.php?id=cctv13
CCTV14,http://101.200.122.188/tv/migu085.php?id=cctv14
CCTV15,http://101.200.122.188/tv/migu085.php?id=cctv15
CCTV17,http://101.200.122.188/tv/migu085.php?id=cctv17
东方卫视,http://101.200.122.188/tv/migu085.php?id=dfws
重庆卫视,http://101.200.122.188/tv/migu085.php?id=cqws
辽宁卫视,http://101.200.122.188/tv/migu085.php?id=lnws
吉林卫视,http://101.200.122.188/tv/migu085.php?id=jlws
内蒙古卫视,http://101.200.122.188/tv/migu085.php?id=nmws
宁夏卫视,http://101.200.122.188/tv/migu085.php?id=nxws
甘肃卫视,http://101.200.122.188/tv/migu085.php?id=gsws
青海卫视,http://101.200.122.188/tv/migu085.php?id=qhws
陕西卫视,http://101.200.122.188/tv/migu085.php?id=sxws
山东卫视,http://101.200.122.188/tv/migu085.php?id=sdws
河南卫视,http://101.200.122.188/tv/migu085.php?id=hnws
湖北卫视,http://101.200.122.188/tv/migu085.php?id=hubws
湖南卫视,http://101.200.122.188/tv/migu085.php?id=hunws
江西卫视,http://101.200.122.188/tv/migu085.php?id=jxws
江苏卫视,http://101.200.122.188/tv/migu085.php?id=jsws
广东卫视,http://101.200.122.188/tv/migu085.php?id=gdws
大湾区卫视,http://101.200.122.188/tv/migu085.php?id=dwqws
广西卫视,http://101.200.122.188/tv/migu085.php?id=gxws
云南卫视,http://101.200.122.188/tv/migu085.php?id=ynws
贵州卫视,http://101.200.122.188/tv/migu085.php?id=gzws
新疆卫视,http://101.200.122.188/tv/migu085.php?id=xjws
海南卫视,http://101.200.122.188/tv/migu085.php?id=hinws
西藏卫视,http://101.200.122.188/tv/migu085.php?id=xzws
四海钓鱼,http://101.200.122.188/tv/migu085.php?id=shdy
东方影视,http://101.200.122.188/tv/migu085.php?id=dfys
广东影视,http://101.200.122.188/tv/migu085.php?id=gdys
嘉佳卡通,http://101.200.122.188/tv/migu085.php?id=jjkt
